SampleName	Class
GTEX.1HCU6.1826.SM.C1YRN	GTEX Normal Adrenal Gland
GTEX.1KD4Q.1826.SM.DIPFV	GTEX Normal Adrenal Gland
GTEX.ZYVF.1626.SM.5N9EH	GTEX Normal Adrenal Gland
GTEX.RWSA.1726.SM.47JX7	GTEX Normal Adrenal Gland
GTEX.16MT8.1626.SM.7EWDW	GTEX Normal Adrenal Gland
GTEX.1A32A.2126.SM.718AZ	GTEX Normal Adrenal Gland
GTEX.1GF9V.2026.SM.9JGHS	GTEX Normal Adrenal Gland
A5J6_COC1.01	TCGA-ACC-COC1
A5JA_COC1.01	TCGA-ACC-COC1
A5JC_COC1.01	TCGA-ACC-COC1
A5JD_COC1.01	TCGA-ACC-COC1
A5JK_COC1.01	TCGA-ACC-COC1
A5JL_COC1.01	TCGA-ACC-COC1
A5JQ_COC1.01	TCGA-ACC-COC1
A5JR_COC1.01	TCGA-ACC-COC1
A5JT_COC1.01	TCGA-ACC-COC1
A5JV_COC1.01	TCGA-ACC-COC1
A5JX_COC1.01	TCGA-ACC-COC1
A5JZ_COC1.01	TCGA-ACC-COC1
A5K1_COC1.01	TCGA-ACC-COC1
A5K3_COC1.01	TCGA-ACC-COC1
A5K4_COC1.01	TCGA-ACC-COC1
A5K8_COC1.01	TCGA-ACC-COC1
A5KO_COC1.01	TCGA-ACC-COC1
A5KW_COC1.01	TCGA-ACC-COC1
A5L4_COC1.01	TCGA-ACC-COC1
A5L5_COC1.01	TCGA-ACC-COC1
A5L8_COC1.01	TCGA-ACC-COC1
A5L9_COC1.01	TCGA-ACC-COC1
A5LA_COC1.01	TCGA-ACC-COC1
A5LH_COC1.01	TCGA-ACC-COC1
A5LK_COC1.01	TCGA-ACC-COC1
A5LM_COC1.01	TCGA-ACC-COC1
A5LN_COC1.01	TCGA-ACC-COC1
A5LP_COC1.01	TCGA-ACC-COC1
A5LR_COC1.01	TCGA-ACC-COC1
A5LT_COC1.01	TCGA-ACC-COC1
A5YG_COC1.01	TCGA-ACC-COC1
A5H9_COC1.01	TCGA-ACC-COC1
A5HA_COC1.01	TCGA-ACC-COC1
A5J3_COC2.01	TCGA-ACC-COC2
A5J5_COC2.01	TCGA-ACC-COC2
A5J8_COC2.01	TCGA-ACC-COC2
A5JB_COC2.01	TCGA-ACC-COC2
A5JF_COC2.01	TCGA-ACC-COC2
A5JI_COC2.01	TCGA-ACC-COC2
A5JJ_COC2.01	TCGA-ACC-COC2
A5JO_COC2.01	TCGA-ACC-COC2
A5JW_COC2.01	TCGA-ACC-COC2
A5KT_COC2.01	TCGA-ACC-COC2
A5KU_COC2.01	TCGA-ACC-COC2
A5KY_COC2.01	TCGA-ACC-COC2
A5KZ_COC2.01	TCGA-ACC-COC2
A5L3_COC2.01	TCGA-ACC-COC2
A5L6_COC2.01	TCGA-ACC-COC2
A5LB_COC2.01	TCGA-ACC-COC2
A5LC_COC2.01	TCGA-ACC-COC2
A5LS_COC2.01	TCGA-ACC-COC2
A5PI_COC2.01	TCGA-ACC-COC2
A5J1_COC3.01	TCGA-ACC-COC3
A5J2_COC3.01	TCGA-ACC-COC3
A5J7_COC3.01	TCGA-ACC-COC3
A5J9_COC3.01	TCGA-ACC-COC3
A5JE_COC3.01	TCGA-ACC-COC3
A5JG_COC3.01	TCGA-ACC-COC3
A5JM_COC3.01	TCGA-ACC-COC3
A5JP_COC3.01	TCGA-ACC-COC3
A5JS_COC3.01	TCGA-ACC-COC3
A5JY_COC3.01	TCGA-ACC-COC3
A5K0_COC3.01	TCGA-ACC-COC3
A5K2_COC3.01	TCGA-ACC-COC3
A5K5_COC3.01	TCGA-ACC-COC3
A5K6_COC3.01	TCGA-ACC-COC3
A5K9_COC3.01	TCGA-ACC-COC3
A5KV_COC3.01	TCGA-ACC-COC3
A5KX_COC3.01	TCGA-ACC-COC3
A5LD_COC3.01	TCGA-ACC-COC3
A5LE_COC3.01	TCGA-ACC-COC3
A5LG_COC3.01	TCGA-ACC-COC3
A5LJ_COC3.01	TCGA-ACC-COC3
A5LL_COC3.01	TCGA-ACC-COC3
A5LO_COC3.01	TCGA-ACC-COC3
A5HB_COC3.01	TCGA-ACC-COC3
